"","chr","start","end","gene","geneLength","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3"
"16298","chr1",3660579,3662579,"Xkr4",457017,1.61751045843547,1.8032797308794,0.999071924358556,1.4125741307299,1.27748265321865,1.53507089435001,1.02976382557583,1.13536223654952,0.825869713747939
"12614","chr1",4349395,4351395,"Rp1",16808,0.219661914108521,0.0932730895282447,0.170054795635499,0.304246735849516,0.188481047196195,0.143912896345313,0.284828292180549,0.162194605221361,0.245528833816955
"13920","chr1",4485494,4487494,"Sox17",5486,0.938555451190952,0.777275746068706,0.637705483633121,0.717153020216717,0.502616125856519,0.743549964450786,0.701115796136735,0.681217341929715,0.825869713747939
"9454","chr1",4774807,4776807,"Mrpl15",12529,0.738862802001388,0.994912954967944,0.786503429814182,0.847544478437938,0.795808865939489,1.00739027441719,0.854484876541646,0.843411947151076,0.379453652262566
"8874","chr1",4796973,4798973,"Lypla1",38843,1.07834030562365,1.11927707433894,1.23289726835737,1.21698694339806,0.942405235980974,1.48709992890157,1.24886251186856,1.52462928908079,0.781228107599402
"14572","chr1",4846774,4848774,"Tcea1",40216,1.93701869713877,2.26964517852062,2.29573974107923,2.26011860916783,1.10994394459981,2.23064989335236,2.54154476099567,2.33560231518759,1.29460657830758
"12394","chr1",5059366,5061366,"Rgs20",160710,0.319508238703303,0.435274417798476,0.361366440725435,0.304246735849516,0.439789110124454,0.455724171760159,0.350557898068368,0.340608670964857,0.535699273782447
"2239","chr1",5072253,5074253,"Atp6v1h",79377,0.918586186271995,0.901639865439699,0.977815074904118,0.912740207548549,0.712039511630069,1.10333220531407,0.766845402024554,0.810973026106803,0.602661683005253
"10526","chr1",5577573,5579573,"Oprk1",17641,0.758832066920344,1.02600398481069,0.595191784724246,0.630225381402569,0.628270157320649,0.623622550829692,0.416287503956187,0.567681118274762,0.848190516822207
"12199","chr1",6203742,6205742,"Rb1cc1",61443,2.23655767092312,2.39400929789162,1.80683220362717,2.56436534501735,1.46596370041485,2.97419985780314,2.49772502373712,2.46535799936468,1.67406023057015
"14151","chr1",6476311,6478311,"St18",373710,0.479262358054954,0.559638537169469,0.573934935269809,0.543297742588422,0.481673787279164,0.551666102657035,0.372467766697641,0.551461657752626,0.580340879930984
"10785","chr1",7078000,7080000,"Pcmtd1",84709,3.53455989065529,3.94856079002903,4.0388013963431,3.82481610782249,1.65444474761104,3.21405468504533,4.95163031021569,4.10352351210043,2.47760914124382
"13861","chr1",9288811,9290811,"Sntg1",937070,0.798770596758257,1.18145913402443,0.807760279268619,0.521565832884885,0.565443141588584,0.863477378071881,0.635386190248916,0.859631407673212,0.624982486079521
"1428","chr1",9537126,9539126,"Adhfe1",29923,1.19815589513739,1.39909634292367,1.19038356944849,0.999667846362696,1.0680592674451,1.3911579980047,1.40223159227347,1.31377630229302,0.758907304525133
"526","chr1",9590347,9592347,"3110035E14Rik",25876,0.479262358054954,0.404183387955727,0.510164386906496,0.499833923181348,0.586385480165939,0.359782240863284,0.241008554922003,0.291950289398449,0.580340879930984
"9676","chr1",9689290,9691290,"Mybl1",31375,2.11674208140938,2.05200796962138,2.50830823562361,2.19492288005722,1.31936733037336,3.11811275414846,2.27862633744439,2.741088828241,1.62941862442161
"15905","chr1",9737463,9739463,"Vcpip1",25186,2.05683428665251,2.36291826804887,2.21071234326148,1.49950176954404,1.23559797606394,1.99079506611017,3.0016520022104,2.69243044667459,1.16068175986197
"13202","chr1",9787210,9789210,"Sgk3",104439,0.938555451190952,0.932730895282448,1.08409932217631,1.4125741307299,0.837693543094199,1.55905637707423,0.985944088317284,0.940728710283892,0.64730328915379
"879","chr1",9897718,9899718,"6030422M02Rik",32317,0.499231622973911,0.652911626697713,0.871530827631931,0.630225381402569,0.607327818743294,0.479709654484378,0.503926978473279,0.567681118274762,0.64730328915379
"11505","chr1",9998201,10000201,"Ppp1r42",40495,0.519200887892867,0.497456477483972,0.616448634178683,0.391174374663664,0.4188467715471,0.527680619932816,0.635386190248916,0.600120039319035,0.379453652262566
"3896","chr1",10026979,10028979,"Cops5",13068,0.718893537082431,1.02600398481069,0.914044526540806,0.825812568734401,0.712039511630069,0.839491895347662,1.1393131687222,1.05426493393884,0.558020076856716
"4103","chr1",10027298,10029298,"Cspp1",98551,0.858678391515126,1.21255016386718,0.956558225449681,0.847544478437938,0.816751204516844,0.8874628607961,1.16122303735147,1.18402061811593,0.736586501450864
"1920","chr1",10221751,10223751,"Arfgef1",95164,1.63747972335443,2.02091693977864,1.74306165526386,1.47776985984051,0.963347574558329,1.84688216976486,1.33650198638565,1.83279903900138,0.982115335267819
"3945","chr1",10709024,10711024,"Cpa6",395217,0.519200887892867,0.684002656540462,0.510164386906496,0.69542111051318,0.397904432969745,0.575651585381254,0.525836847102552,0.437925434097674,0.424095258411104
"11596","chr1",10982545,10984545,"Prex2",310218,1.15821736529947,1.18145913402443,0.956558225449681,1.4125741307299,1.0680592674451,1.36717251528048,1.09549343146365,0.875850868195348,0.624982486079521
"1053","chr1",11403185,11405185,"A830018L16Rik",187717,0.7788013318393,1.18145913402443,0.701476031996433,0.76061683962379,0.670154834475359,0.527680619932816,0.43819737258546,0.648778420885443,0.580340879930984
"14303","chr1",12681510,12683510,"Sulf1",167943,0.379416033460172,0.52854750732672,0.446393838543184,0.586761561995496,0.565443141588584,0.335796758139065,0.503926978473279,0.632558960363307,0.446416061485372
"13713","chr1",12980216,12982216,"Slco5a1",124586,0.898616921353039,1.33691428323817,1.06284247272187,0.782348749327327,0.628270157320649,0.839491895347662,0.766845402024554,0.9893870918503,0.825869713747939
"11574","chr1",13116244,13118244,"Prdm14",13736,0.658985742325562,0.808366775911454,0.616448634178683,0.630225381402569,0.753924188784779,0.623622550829692,0.744935533395281,0.924509249761756,0.80354891067367
"9876","chr1",13363164,13365164,"Ncoa2",234925,2.39631179027477,2.7049195963191,2.67836303125911,2.82514826145979,1.61256007045633,2.85427244418205,2.60727436688348,2.93572235450663,1.5624562151988
"15254","chr1",13578945,13580945,"Tram1",25163,1.43778707416486,2.11419002930688,1.46672261235618,1.43430604043343,1.10994394459981,1.29521606710782,1.42414146090274,1.5732876706472,1.1383609567877
"8454","chr1",13649590,13651590,"Lactb2",34611,1.6973875181113,2.26964517852062,1.67929110690055,2.02106760242893,1.34030966895072,1.60702734252267,2.38817568059076,2.17340770996623,1.04907774449063
"16303","chr1",13657851,13659851,"Xkr9",32953,0.319508238703303,0.310910298427483,0.552678085815371,0.478102013477811,0.565443141588584,0.311811275414846,0.59156645299037,0.37304759200913,0.49105766763391
"5472","chr1",14299280,14301280,"Eya1",141242,0.299538973784346,0.373092358112979,0.40388013963431,0.434638194070737,0.25130806292826,0.407753206311721,0.328648029439095,0.470364355141946,0.602661683005253
"15383","chr1",14907943,14909943,"Trpa1",46215,0.658985742325562,0.590729567012217,0.510164386906496,0.369442464960127,0.586385480165939,0.43173868903594,0.394377635326914,0.600120039319035,0.602661683005253
"14656","chr1",15794738,15796738,"Terf1",37772,1.25806368989425,1.71000664135115,1.63677740799168,1.95587187331832,0.816751204516844,1.82289668704064,1.81851909622966,1.81657957847924,1.1383609567877
"6459","chr1",15881803,15883803,"Gm106",38861,0.898616921353039,0.808366775911454,0.786503429814182,0.956204026955622,0.816751204516844,1.07934672258985,0.876394745170919,0.843411947151076,0.80354891067367
"631","chr1",16082122,16084122,"4930444P10Rik",27063,0.858678391515126,1.02600398481069,0.701476031996433,0.673689200809643,0.963347574558329,1.12731768803829,0.547746715731825,0.778534105062531,0.49105766763391
