"","FileName","SampleName","Group","GroupPriority"
"1","Skin_LTDR_rep1_trimed.txt","Skin_LTDR_rep1","Skin_LTDR",3
"2","Skin_LTDR_rep3_trimed.txt","Skin_LTDR_rep3","Skin_LTDR",3
"3","Skin_LTAL_rep1_trimed.txt","Skin_LTAL_rep1","Skin_LTAL",2
"4","Skin_LTAL_rep2_trimed.txt","Skin_LTAL_rep2","Skin_LTAL",2
"5","Skin_Young_rep1_trimed.txt","Skin_Young_rep1","Skin_Young",1
"6","Skin_Young_rep2_trimed.txt","Skin_Young_rep2","Skin_Young",1
"7","Skin_Young_rep3_trimed.txt","Skin_Young_rep3","Skin_Young",1
"8","Skin_STDR_rep1_trimed.txt","Skin_STDR_rep1","Skin_STDR",4
"9","Skin_STDR_rep2_trimed.txt","Skin_STDR_rep2","Skin_STDR",4
"10","Skin_STDR_rep3_trimed.txt","Skin_STDR_rep3","Skin_STDR",4
