"","FileName","SampleName","Group","GroupPriority"
"1","Lung_LTDR_rep1_trimed.txt","Lung_LTDR_rep1","Lung_LTDR",3
"2","Lung_LTDR_rep2_trimed.txt","Lung_LTDR_rep2","Lung_LTDR",3
"3","Lung_LTDR_rep3_trimed.txt","Lung_LTDR_rep3","Lung_LTDR",3
"4","Lung_LTAL_rep2_trimed.txt","Lung_LTAL_rep2","Lung_LTAL",2
"5","Lung_LTAL_rep3_trimed.txt","Lung_LTAL_rep3","Lung_LTAL",2
"6","Lung_Young_rep1_trimed.txt","Lung_Young_rep1","Lung_Young",1
"7","Lung_Young_rep2_trimed.txt","Lung_Young_rep2","Lung_Young",1
"8","Lung_Young_rep3_trimed.txt","Lung_Young_rep3","Lung_Young",1
"9","Lung_STDR_rep1_trimed.txt","Lung_STDR_rep1","Lung_STDR",4
"10","Lung_STDR_rep2_trimed.txt","Lung_STDR_rep2","Lung_STDR",4
"11","Lung_STDR_rep3_trimed.txt","Lung_STDR_rep3","Lung_STDR",4
